Year,State, Population , Total Crime ,Violent Crime,Murder and Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Vehicle theft
2005,Alabama," 4,548,327 "," 197,071 ",19678,374,1564,6447,11293,177393,43473,120780,13140
2006,Alabama," 4,599,030 "," 200,802 ",19553,382,1646,7062,10463,181249,44780,121451,15018
2007,Alabama," 4,627,851 "," 204,857 ",20775,412,1548,7398,11417,184082,45379,124465,14238
2008,Alabama," 4,661,900 "," 211,526 ",21110,351,1618,7346,11795,190416,50411,126539,13466
2009,Alabama," 4,708,708 "," 199,201 ",21194,322,1504,6265,13103,178007,48844,118072,11091
2010,Alabama," 4,785,401 "," 187,191 ",18363,275,1355,4864,11869,168828,42484,115564,10780
2011,Alabama," 4,803,689 "," 193,358 ",20166,299,1370,4906,13591,173192,51119,111411,10662
2012,Alabama," 4,817,528 "," 190,571 ",21693,342,1296,5020,15035,168878,47481,111523,9874
2013,Alabama," 4,833,996 "," 182,669 ",20834,346,2055,4645,13788,161835,42410,108862,10563
2014,Alabama," 4,849,377 "," 174,821 ",20727,276,2005,4701,13745,154094,39715,104238,10141
2005,Arizona," 5,953,007 "," 317,823 ",30478,445,2006,8579,19448,287345,56328,176112,54905
2006,Arizona," 6,166,318 "," 327,845 ",33456,533,2449,9491,20983,294389,59418,178321,56650
2007,Arizona," 6,338,755 "," 320,143 ",32835,548,2353,9764,20170,287308,59988,177076,50244
2008,Arizona," 6,500,180 "," 298,220 ",31567,462,2200,9809,19096,266653,58606,169460,38587
2009,Arizona," 6,595,778 "," 264,849 ",28128,380,2279,8199,17270,236721,54308,155976,26437
2010,Arizona," 6,413,158 "," 253,330 ",26528,408,2191,6953,16976,226802,50932,154137,21733
2011,Arizona," 6,467,315 "," 256,685 ",26789,397,2499,7145,16748,229896,54695,155400,19801
2012,Arizona," 6,551,149 "," 259,778 ",28077,358,2282,7383,18054,231701,52911,159808,18982
2013,Arizona," 6,634,997 "," 250,870 ",27576,355,3174,6656,17391,223294,48292,158036,16966
2014,Arizona," 6,731,484 "," 242,156 ",26916,319,3378,6249,16970,215240,43562,154091,17587
2005,Arkansas," 2,775,708 "," 127,584 ",14670,189,1202,2532,10747,112914,30118,75510,7286
2006,Arkansas," 2,810,872 "," 127,563 ",15538,205,1325,2749,11259,112025,31864,72646,7515
2007,Arkansas," 2,834,797 "," 127,356 ",15226,198,1294,3105,10629,112130,32035,73096,6999
2008,Arkansas," 2,855,390 "," 125,009 ",14649,165,1463,2777,10244,110360,33912,69905,6543
2009,Arkansas," 2,889,450 "," 123,983 ",14905,179,1378,2576,10772,109078,34753,68228,6097
2010,Arkansas," 2,921,588 "," 118,531 ",14711,134,1321,2369,10887,103820,32463,65796,5561
2011,Arkansas," 2,938,582 "," 124,603 ",14173,160,1230,2357,10426,110430,34016,70645,5769
2012,Arkansas," 2,949,828 "," 123,240 ",13851,174,1233,2310,10134,109389,32673,70982,5734
2013,Arkansas," 2,958,765 "," 120,182 ",13705,158,1490,2261,9796,106477,30369,70430,5678
2014,Arkansas," 2,966,369 "," 113,261 ",14243,165,1763,2050,10265,99018,24790,68627,5601
2005,California," 36,154,147 "," 1,390,709 ",190178,2503,9392,63622,114661,1200531,250521,692467,257543
2006,California," 36,457,549 "," 1,354,471 ",194483,2486,9235,71142,111620,1159988,247230,669103,243655
2007,California," 36,553,215 "," 1,304,071 ",191561,2262,9046,70706,109547,1112510,237850,654526,220134
2008,California," 36,756,666 "," 1,266,325 ",185329,2142,8903,69388,104896,1080996,237811,650656,192529
2009,California," 36,961,664 "," 1,184,367 ",174934,1972,8713,64093,100156,1009433,230198,615402,163833
2010,California," 37,338,198 "," 1,146,072 ",164133,1809,8331,58116,95877,981939,228857,600558,152524
2011,California," 37,683,933 "," 1,128,765 ",154943,1792,7665,54291,91195,973822,230075,596905,146842
2012,California," 37,999,878 "," 1,210,409 ",160944,1884,7837,56521,94702,1049465,245767,635090,168608
2013,California," 38,431,393 "," 1,173,646 ",154739,1746,10324,53640,89029,1018907,232058,621557,165292
2014,California," 38,802,500 "," 1,100,901 ",153709,1699,11527,48680,91803,947192,202670,592670,151852
2005,Colorado," 4,663,295 "," 206,947 ",18498,173,2026,3948,12351,188449,34746,127602,26101
2006,Colorado," 4,753,377 "," 182,233 ",18794,171,2158,3824,12641,163439,32411,110372,20656
2007,Colorado," 4,861,515 "," 162,909 ",17101,155,2075,3461,11410,145808,28633,100519,16656
2008,Colorado," 4,939,456 "," 156,820 ",17480,165,2151,3404,11760,139340,28054,97937,13349
2009,Colorado," 5,024,748 "," 151,218 ",17022,159,2269,3371,11223,134196,26637,95079,12480
2010,Colorado," 5,047,692 "," 151,340 ",16339,129,2230,3164,10816,135001,26196,97534,11271
2011,Colorado," 5,116,302 "," 148,866 ",16085,155,2285,3299,10346,132781,25725,96054,11002
2012,Colorado," 5,189,458 "," 155,306 ",15951,152,2122,3392,10285,139355,26163,101091,12101
2013,Colorado," 5,272,086 "," 156,073 ",16099,174,2963,3136,9826,139974,25075,102375,12524
2014,Colorado," 5,355,866 "," 152,064 ",16554,151,3039,3039,10325,135510,23472,99464,12574
2005,Connecticut," 3,500,701 "," 99,812 ",9542,105,712,3933,4792,90270,15245,64416,10609
2006,Connecticut," 3,504,809 "," 101,143 ",10505,137,696,4460,5212,90638,15583,64765,10290
2007,Connecticut," 3,502,309 "," 97,075 ",10547,113,690,4303,5441,86528,15640,60937,9951
2008,Connecticut," 3,501,252 "," 97,947 ",10737,132,680,4043,5882,87210,15107,63212,8891
2009,Connecticut," 3,518,288 "," 93,213 ",10588,106,657,4001,5824,82625,15172,59992,7461
2010,Connecticut," 3,575,498 "," 88,342 ",10083,133,595,3553,5802,78259,15145,56413,6701
2011,Connecticut," 3,586,717 "," 87,094 ",9889,129,689,3689,5382,77205,15468,55067,6670
2012,Connecticut," 3,591,765 "," 87,352 ",10183,117,933,3709,5424,77169,14787,55904,6478
2013,Connecticut," 3,599,341 "," 80,713 ",9439,91,891,3551,4906,71274,12934,52099,6241
2014,Connecticut," 3,596,677 "," 77,592 ",8522,86,782,3159,4495,69070,11955,51005,6110
2005,Delaware," 841,741 "," 31,577 ",5332,37,377,1306,3612,26245,5811,18085,2349
2006,Delaware," 853,476 "," 35,653 ",5983,42,417,1791,3733,29670,6337,20449,2884
2007,Delaware," 864,764 "," 35,316 ",6100,39,341,1763,3957,29216,6420,20454,2342
2008,Delaware," 873,092 "," 37,572 ",6187,57,371,1847,3912,31385,6783,22045,2557
2009,Delaware," 885,122 "," 35,398 ",5713,41,395,1680,3597,29685,6943,20836,1906
2010,Delaware," 899,792 "," 36,686 ",5608,51,326,1839,3392,31078,7550,21593,1935
2011,Delaware," 908,137 "," 36,307 ",5144,48,307,1558,3231,31163,7617,22001,1545
2012,Delaware," 917,053 "," 35,755 ",5048,56,249,1498,3245,30707,7389,21880,1438
2013,Delaware," 925,240 "," 33,634 ",4633,41,399,1233,2960,29001,6299,21347,1355
2014,Delaware," 935,614 "," 32,476 ",4576,54,386,1269,2867,27900,5768,20865,1267
2005,Columbia," 582,049 "," 34,165 ",8032,195,166,3700,3971,26133,3577,14836,7720
2006,Columbia," 581,530 "," 35,836 ",8772,169,185,3829,4589,27064,3835,15908,7321
2007,Columbia," 588,292 "," 37,247 ",8325,181,192,4265,3687,28922,3926,17390,7606
2008,Columbia," 591,833 "," 38,720 ",8509,186,186,4430,3707,30211,3788,19958,6465
2009,Columbia," 599,657 "," 36,584 ",8089,145,150,4404,3390,28495,3696,19267,5532
2010,Columbia," 604,912 "," 36,828 ",8026,132,187,4325,3382,28802,4233,19514,5055
2011,Columbia," 619,020 "," 37,087 ",7433,108,173,4094,3058,29654,3850,21347,4457
2012,Columbia," 633,427 "," 38,623 ",7866,88,236,4037,3505,30757,3519,23575,3663
2013,Columbia," 649,111 "," 39,512 ",8415,103,395,4082,3835,31097,3316,24547,3234
2014,Columbia," 658,893 "," 42,346 ",8199,105,472,3497,4125,34147,3466,26898,3783
2005,Florida," 17,768,191 "," 838,955 ",125957,883,6592,30141,88341,712998,164783,472912,75303
2006,Florida," 18,089,888 "," 850,703 ",129602,1129,6475,34147,87851,721101,170873,473774,76454
2007,Florida," 18,251,243 "," 878,127 ",131878,1202,6149,38155,86372,746249,181836,490783,73630
2008,Florida," 18,328,340 "," 885,145 ",126256,1168,5972,36268,82848,758889,188472,506902,63515
2009,Florida," 18,537,969 "," 825,551 ",113541,1017,5501,30911,76112,712010,181884,479867,50259
2010,Florida," 18,838,613 "," 771,004 ",101969,987,5373,26086,69523,669035,169119,458454,41462
2011,Florida," 19,082,262 "," 769,398 ",98198,984,5273,25622,66319,671200,170171,461408,39621
2012,Florida," 19,320,749 "," 727,075 ",94087,1009,5260,23889,63929,632988,153563,442095,37330
2013,Florida," 19,600,311 "," 699,163 ",91993,972,6767,23200,61054,607170,138915,433344,34911
2014,Florida," 19,893,297 "," 786,967 ",107521,1149,8563,24914,72895,679446,143220,493647,42579
2005,Georgia," 9,132,553 "," 419,259 ",40725,564,2143,14041,23977,378534,84463,249594,44477
2006,Georgia," 9,363,941 "," 407,466 ",44754,605,2169,15511,26469,362712,85140,234445,43127
2007,Georgia," 9,544,750 "," 418,165 ",46917,720,2198,17291,26708,371248,90294,238436,42518
2008,Georgia," 9,685,744 "," 435,270 ",47353,640,2334,17808,26571,387917,100564,247709,39644
2009,Georgia," 9,829,211 "," 403,058 ",42073,566,2323,14631,24553,360985,98606,229216,33163
2010,Georgia," 9,712,157 "," 392,517 ",39068,555,2107,12372,24034,353449,96947,226161,30341
2011,Georgia," 9,812,460 "," 393,997 ",36762,549,2066,12266,21881,357235,96014,231543,29678
2012,Georgia," 9,915,646 "," 377,148 ",37675,583,2143,12502,22447,339473,86992,223875,28606
2013,Georgia," 9,994,759 "," 377,327 ",37519,563,2891,12704,21361,339808,83459,229190,27159
2014,Georgia," 10,097,343 "," 369,413 ",38097,580,3048,12417,22052,331316,76428,228034,26854
2005,Hawaii," 1,273,278 "," 64,368 ",3253,24,343,1001,1885,61115,9792,42188,9135
2006,Hawaii," 1,285,498 "," 57,855 ",3608,21,353,1144,2090,54247,8724,37784,7739
2007,Hawaii," 1,283,388 "," 56,410 ",3544,24,377,1122,2021,52866,9089,37494,6283
2008,Hawaii," 1,288,198 "," 49,454 ",3510,26,363,1085,2036,45944,9404,31424,5116
2009,Hawaii," 1,295,178 "," 51,066 ",3550,23,385,1030,2112,47516,9244,33415,4857
2010,Hawaii," 1,363,359 "," 49,270 ",3603,25,377,1065,2136,45667,8706,31681,5280
2011,Hawaii," 1,378,129 "," 47,339 ",3465,20,353,994,2098,43874,8165,31240,4469
2012,Hawaii," 1,390,090 "," 46,797 ",3378,21,279,1125,1953,43419,7653,31901,3865
2013,Hawaii," 1,408,987 "," 48,851 ",3585,32,508,934,2111,45266,7777,32928,4561
2014,Hawaii," 1,419,561 "," 46,977 ",3680,26,445,1107,2102,43297,7778,31640,3879
2005,Idaho," 1,429,367 "," 42,226 ",3670,35,577,266,2792,38556,8066,27606,2884
2006,Idaho," 1,466,465 "," 38,801 ",3666,35,611,294,2726,35135,7545,25154,2436
2007,Idaho," 1,499,402 "," 37,965 ",3841,49,607,243,2942,34124,7131,24727,2266
2008,Idaho," 1,523,816 "," 35,620 ",3680,23,579,239,2839,31940,6748,23532,1660
2009,Idaho," 1,545,801 "," 35,025 ",3805,24,575,254,2952,31220,6682,23066,1472
2010,Idaho," 1,571,102 "," 34,900 ",3464,22,533,213,2696,31436,6513,23594,1329
2011,Idaho," 1,583,744 "," 36,077 ",3202,35,444,188,2535,32875,6915,24629,1331
2012,Idaho," 1,595,590 "," 35,173 ",3348,30,495,243,2580,31825,7240,23203,1382
2013,Idaho," 1,612,843 "," 33,701 ",3471,29,674,220,2548,30230,6693,21999,1538
2014,Idaho," 1,634,464 "," 33,784 ",3468,32,609,204,2623,30316,6428,22227,1661
2005,Illinois," 12,765,427 "," 465,166 ",70496,770,4313,23255,42158,394670,77635,277662,39373
2006,Illinois," 12,831,970 "," 456,976 ",69498,780,4078,23782,40858,387478,77259,272578,37641
2007,Illinois," 12,852,548 "," 445,850 ",68528,752,4103,23100,40573,377322,75524,267911,33887
2008,Illinois," 12,901,563 "," 446,135 ",67780,790,4118,24054,38818,378355,78968,266815,32572
2009,Illinois," 12,910,409 "," 417,532 ",64185,773,3901,22923,36588,353347,77850,248821,26676
2010,Illinois," 12,841,980 "," 406,196 ",57132,704,3066,20386,32976,349064,77472,242681,28911
2011,Illinois," 12,859,752 "," 398,991 ",54523,781,3030,20217,30495,344468,77719,237362,29387
2012,Illinois," 12,868,192 "," 386,262 ",53556,770,3581,19480,29725,332706,71100,235314,26292
2013,Illinois," 12,890,552 "," 348,004 ",51956,722,5340,17733,28161,296048,59093,216059,20896
2014,Illinois," 12,880,580 "," 315,048 ",47663,685,4159,15299,27520,267385,50008,199926,17451
2005,Indiana," 6,266,019 "," 237,080 ",20302,356,1856,6809,11281,216778,43756,151278,21744
2006,Indiana," 6,313,520 "," 238,086 ",20303,361,1811,7175,10956,217783,45538,150655,21590
2007,Indiana," 6,345,289 "," 235,197 ",21310,350,1738,7845,11377,213887,46485,147999,19403
2008,Indiana," 6,376,792 "," 235,164 ",21525,322,1711,7580,11912,213639,48805,147334,17500
2009,Indiana," 6,423,113 "," 221,362 ",21455,312,1621,7347,12175,199907,48880,137190,13837
2010,Indiana," 6,490,622 "," 220,257 ",20983,268,1760,6559,12396,199274,48570,137204,13500
2011,Indiana," 6,516,353 "," 227,635 ",21619,306,1758,6977,12578,206016,50571,140630,14815
2012,Indiana," 6,537,782 "," 220,538 ",22544,307,1661,6601,13975,197994,47689,136668,13637
2013,Indiana," 6,570,713 "," 211,099 ",23627,357,2241,7114,13915,187472,42754,130534,14184
2014,Indiana," 6,596,855 "," 198,875 ",24099,330,2186,6897,14686,174776,36893,124022,13861
2005,Iowa," 2,965,524 "," 93,067 ",8697,40,847,1153,6657,84370,18147,60723,5500
2006,Iowa," 2,982,085 "," 92,723 ",8521,55,871,1309,6286,84202,18160,60998,5044
2007,Iowa," 2,988,046 "," 88,103 ",8970,39,970,1328,6633,79133,17176,57018,4939
2008,Iowa," 3,002,555 "," 81,924 ",8651,77,937,1249,6388,73273,16598,52299,4376
2009,Iowa," 3,007,856 "," 78,565 ",8485,38,890,1201,6356,70080,16419,49757,3904
2010,Iowa," 3,050,202 "," 76,931 ",8191,38,883,1012,6258,68740,16746,48194,3800
2011,Iowa," 3,064,097 "," 79,926 ",7883,44,866,824,6149,72043,17573,50472,3998
2012,Iowa," 3,075,039 "," 78,524 ",8167,49,901,962,6255,70357,17201,49116,4040
2013,Iowa," 3,092,341 "," 76,419 ",8443,41,1133,937,6332,67976,15918,47803,4255
2014,Iowa," 3,107,126 "," 73,553 ",8497,60,1128,1045,6264,65056,14428,46477,4151
2005,Kansas," 2,748,172 "," 115,289 ",10701,101,1098,1795,7707,104588,19028,76222,9338
2006,Kansas," 2,764,075 "," 116,220 ",11960,125,1279,1878,8678,104260,20086,75450,8724
2007,Kansas," 2,775,997 "," 115,691 ",12730,106,1287,2022,9315,102961,20461,73900,8600
2008,Kansas," 2,802,134 "," 106,436 ",11554,113,1226,1681,8534,94882,19651,67826,7405
2009,Kansas," 2,818,747 "," 102,390 ",11460,125,1179,1786,8370,90930,19473,65499,5958
2010,Kansas," 2,859,143 "," 99,711 ",10602,97,1146,1538,7821,89109,19315,63774,6020
2011,Kansas," 2,870,386 "," 98,864 ",10209,111,1122,1448,7528,88655,18712,63259,6684
2012,Kansas," 2,885,398 "," 101,358 ",10292,85,1105,1493,7609,91066,18874,65413,6779
2013,Kansas," 2,895,801 "," 95,632 ",9928,117,1295,1339,7177,85704,17476,61557,6671
2014,Kansas," 2,904,021 "," 89,554 ",10123,91,1411,1362,7259,79431,15828,56697,6906
2005,Kentucy," 4,172,608 "," 116,742 ",11134,190,1421,3690,5833,105608,26458,70354,8796
2006,Kentucy," 4,206,074 "," 120,789 ",11361,173,1312,3850,6026,109428,27867,72197,9364
2007,Kentucy," 4,241,474 "," 120,316 ",12329,206,1365,4068,6690,107987,27820,71489,8678
2008,Kentucy," 4,269,245 "," 127,182 ",12690,201,1457,4080,6952,114492,29556,77279,7657
2009,Kentucy," 4,314,113 "," 119,914 ",11000,184,1531,3642,5643,108914,29880,72938,6096
2010,Kentucy," 4,347,223 "," 121,774 ",10604,188,1438,3748,5230,111170,30443,74488,6239
2011,Kentucy," 4,366,814 "," 129,502 ",10465,151,1499,3705,5110,119037,32750,79586,6701
2012,Kentucy," 4,379,730 "," 122,652 ",9852,201,1312,3547,4792,112800,29877,76199,6724
2013,Kentucy," 4,399,583 "," 113,728 ",9280,172,1646,3247,4215,104448,26331,72048,6069
2014,Kentucy," 4,413,457 "," 108,506 ",9340,160,1440,3336,4404,99166,23244,69604,6318
2005,Louisiana," 4,507,331 "," 193,500 ",26889,450,1421,5337,19681,166611,39382,112840,14389
2006,Louisiana," 4,287,768 "," 205,898 ",30923,555,1587,5928,22853,174975,46703,112605,15667
2007,Louisiana," 4,293,204 "," 212,305 ",31789,625,1427,6316,23421,180516,46932,118291,15293
2008,Louisiana," 4,410,796 "," 200,792 ",29613,544,1250,6241,21578,171179,45524,112091,13564
2009,Louisiana," 4,492,076 "," 201,497 ",28878,529,1351,6150,20848,172619,46928,114102,11589
2010,Louisiana," 4,545,343 "," 190,908 ",25241,500,1230,5297,18214,165667,45437,110260,9970
2011,Louisiana," 4,574,766 "," 193,902 ",25373,506,1262,5235,18370,168529,46242,113174,9113
2012,Louisiana," 4,602,134 "," 185,512 ",22839,489,1155,5458,15737,162673,42037,112764,7872
2013,Louisiana," 4,629,284 "," 189,806 ",24127,494,1763,5539,16331,165679,41214,115300,9165
2014,Louisiana," 4,649,676 "," 184,758 ",23934,477,1375,5695,16387,160824,38337,112596,9891
2005,Maine," 1,318,220 "," 33,372 ",1483,19,326,323,815,31889,6323,24218,1348
2006,Maine," 1,321,574 "," 35,191 ",1533,23,341,383,786,33658,6846,25465,1347
2007,Maine," 1,317,207 "," 33,814 ",1565,20,392,349,804,32249,6745,24228,1276
2008,Maine," 1,316,456 "," 34,005 ",1572,31,379,333,829,32433,6559,24695,1179
2009,Maine," 1,318,301 "," 33,286 ",1580,26,375,399,780,31706,6729,23955,1022
2010,Maine," 1,327,379 "," 34,521 ",1621,24,389,412,796,32900,7364,24547,989
2011,Maine," 1,328,544 "," 35,467 ",1638,26,394,370,848,33829,7865,24886,1078
2012,Maine," 1,328,501 "," 35,024 ",1626,26,372,420,808,33398,7476,24931,991
2013,Maine," 1,328,702 "," 32,215 ",1761,24,495,335,907,30454,6480,23063,911
2014,Maine," 1,330,089 "," 28,121 ",1700,21,485,304,890,26421,5030,20592,799
2005,Maryland," 5,589,599 "," 237,852 ",39369,552,1266,14378,23173,198483,35922,128491,34070
2006,Maryland," 5,615,727 "," 233,595 ",38111,546,1178,14376,22011,195484,37459,127502,30523
2007,Maryland," 5,618,344 "," 228,859 ",36063,554,1179,13258,21072,192796,37095,127308,28393
2008,Maryland," 5,633,597 "," 233,558 ",35393,493,1127,13203,20570,198165,38849,133983,25333
2009,Maryland," 5,699,478 "," 215,920 ",33625,440,1156,12007,20022,182295,36905,125771,19619
2010,Maryland," 5,785,681 "," 204,916 ",31607,426,1228,11054,18899,173309,36704,118578,18027
2011,Maryland," 5,839,572 "," 195,663 ",28817,399,1200,10342,16876,166846,35823,114951,16072
2012,Maryland," 5,884,868 "," 190,395 ",28086,373,1237,10173,16303,162309,33803,113550,14956
2013,Maryland," 5,938,737 "," 186,153 ",28235,384,1679,10048,16124,157918,31950,112551,13417
2014,Maryland," 5,976,407 "," 176,520 ",26661,365,1619,9544,15133,149859,28012,108745,13102
2005,Massachusetts," 6,433,367 "," 181,371 ",29644,178,1751,7837,19878,151727,34728,98079,18920
2006,Massachusetts," 6,437,193 "," 186,160 ",32217,188,1771,8080,22178,153943,35243,100725,17975
2007,Massachusetts," 6,449,755 "," 183,230 ",28487,187,1643,7021,19636,154743,35767,103925,15051
2008,Massachusetts," 6,497,967 "," 186,056 ",30137,166,1751,7077,21143,155919,36251,106913,12755
2009,Massachusetts," 6,593,587 "," 183,681 ",30503,173,1734,7467,21129,153178,34515,106799,11864
2010,Massachusetts," 6,555,466 "," 185,233 ",30737,214,1784,6897,21842,154496,37903,105124,11469
2011,Massachusetts," 6,607,003 "," 177,061 ",28232,184,1654,6768,19626,148829,36403,101644,10782
2012,Massachusetts," 6,645,303 "," 170,372 ",27047,121,1650,6555,18721,143325,34635,99453,9237
2013,Massachusetts," 6,708,874 "," 164,538 ",27264,138,2303,6705,18118,137274,30716,97437,9121
2014,Massachusetts," 6,745,408 "," 151,666 ",26399,132,2180,6036,18051,125267,24964,92043,8260
2005,Michigan," 10,100,833 "," 368,828 ",55936,629,5199,13348,36760,312892,70527,194090,48275
2006,Michigan," 10,095,643 "," 382,575 ",56981,721,5347,14229,36684,325594,76313,199183,50098
2007,Michigan," 10,071,822 "," 362,315 ",53765,661,4592,13365,35147,308550,75273,191289,41988
2008,Michigan," 10,003,422 "," 346,612 ",51512,554,4507,13246,33205,295100,74787,184558,35755
2009,Michigan," 9,969,727 "," 333,844 ",49825,623,4524,12427,32251,284019,76046,178628,29345
2010,Michigan," 9,877,143 "," 320,194 ",48693,580,4733,11522,31858,271501,74345,169748,27408
2011,Michigan," 9,876,801 "," 295,060 ",43731,617,4344,10263,28507,251329,69755,156666,24908
2012,Michigan," 9,882,519 "," 294,211 ",44962,701,4635,10423,29203,249249,65560,158609,25080
2013,Michigan," 9,898,193 "," 274,892 ",44757,625,6785,10093,27254,230135,56256,149794,24085
2014,Michigan," 9,909,877 "," 244,895 ",42348,535,6273,8021,27519,202547,44184,137206,21157
2005,Minnesota," 5,126,739 "," 173,544 ",15243,115,2258,4724,8146,158301,29716,114304,14281
2006,Minnesota," 5,167,101 "," 175,318 ",16042,126,1645,5441,8830,159276,30306,115693,13277
2007,Minnesota," 5,197,621 "," 173,311 ",15054,116,1873,4770,8295,158257,29717,115892,12648
2008,Minnesota," 5,220,393 "," 163,370 ",13853,110,1805,4179,7759,149517,26558,112764,10195
2009,Minnesota," 5,266,214 "," 152,160 ",12874,74,1789,3619,7392,139286,25580,105160,8546
2010,Minnesota," 5,310,658 "," 148,946 ",12515,96,1798,3388,7233,136431,24415,103429,8587
2011,Minnesota," 5,347,299 "," 148,506 ",12323,75,2113,3385,6750,136183,25681,102354,8148
2012,Minnesota," 5,379,646 "," 150,571 ",12419,99,1638,3475,7207,138152,25378,104316,8458
2013,Minnesota," 5,422,060 "," 143,903 ",12710,114,2014,3674,6908,131193,22713,100514,7966
2014,Minnesota," 5,457,173 "," 137,882 ",12505,88,2001,3687,6729,125377,20773,96237,8367
2005,Mississippi," 2,908,496 "," 103,362 ",8131,214,1147,2405,4365,95231,26866,60873,7492
2006,Mississippi," 2,910,540 "," 101,929 ",9076,231,1039,3259,4547,92853,27117,57406,8330
2007,Mississippi," 2,918,785 "," 99,389 ",8502,202,1033,2896,4371,90887,27223,56473,7191
2008,Mississippi," 2,938,618 "," 94,430 ",8942,236,958,3079,4669,85488,25506,53730,6252
2009,Mississippi," 2,951,996 "," 95,778 ",8451,194,991,2969,4297,87327,29559,52329,5439
2010,Mississippi," 2,970,072 "," 96,595 ",7999,204,931,2777,4087,88596,30453,52784,5359
2011,Mississippi," 2,977,457 "," 97,818 ",8009,232,863,2496,4418,89809,30722,54179,4908
2012,Mississippi," 2,986,450 "," 91,702 ",7769,213,819,2277,4460,83933,28084,51520,4329
2013,Mississippi," 2,992,206 "," 89,851 ",8303,217,1024,2413,4649,81548,24969,52192,4387
2014,Mississippi," 2,994,079 "," 95,800 ",8338,258,1058,2430,4592,87462,24352,58591,4519
2005,Missouri," 5,797,703 "," 258,286 ",30477,402,1625,7196,21254,227809,42822,159288,25699
2006,Missouri," 5,842,713 "," 255,904 ",31897,369,1764,7597,22167,224007,44734,153874,25399
2007,Missouri," 5,878,415 "," 258,075 ",32962,367,1785,7728,23082,225113,44897,156319,23897
2008,Missouri," 5,911,605 "," 246,223 ",29701,456,1612,7395,20238,216522,45763,150002,20757
2009,Missouri," 5,987,580 "," 231,296 ",29513,387,1606,7437,20083,201783,43591,140764,17428
2010,Missouri," 5,995,715 "," 228,298 ",27440,420,1445,6185,19390,200858,44197,140526,16135
2011,Missouri," 6,008,984 "," 225,973 ",26888,366,1469,6275,18778,199085,44875,138879,15331
2012,Missouri," 6,024,522 "," 227,002 ",27189,390,1527,5782,19490,199813,42510,140971,16332
