Year,State, Population , Total Crime ,Violent Crime,Murder and Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Vehicle theft
2013,Missouri," 6,044,917 "," 215,871 ",26216,369,2305,5486,18056,189655,38797,134514,16344
2014,Missouri," 6,063,589 "," 203,093 ",26856,403,2379,5592,18482,176237,35258,124622,16357
2005,Montana," 934,737 "," 32,041 ",2634,18,301,177,2138,29407,3642,23794,1971
2006,Montana," 944,632 "," 30,550 ",3564,33,348,233,2950,26986,3380,21659,1947
2007,Montana," 957,861 "," 31,475 ",3638,27,363,233,3015,27837,3476,22315,2046
2008,Montana," 967,440 "," 29,313 ",3013,40,358,204,2411,26300,3689,20834,1777
2009,Montana," 974,989 "," 27,624 ",2798,32,357,228,2181,24826,3686,19528,1612
2010,Montana," 990,958 "," 28,142 ",2733,25,332,154,2222,25409,3692,20166,1551
2011,Montana," 997,667 "," 26,640 ",2755,29,366,171,2189,23885,3347,19089,1449
2012,Montana," 1,005,494 "," 28,905 ",2803,29,392,202,2180,26102,3920,20484,1698
2013,Montana," 1,014,864 "," 29,119 ",2924,23,467,217,2217,26195,4122,20192,1881
2014,Montana," 1,023,579 "," 28,625 ",3313,37,541,203,2532,25312,3595,19674,2043
2005,Nebraska," 1,758,163 "," 65,400 ",5052,44,581,1040,3387,60348,9408,45359,5581
2006,Nebraska," 1,768,331 "," 64,608 ",5197,51,577,1136,3433,59411,9535,44710,5166
2007,Nebraska," 1,774,571 "," 61,289 ",5524,71,550,1115,3788,55765,9035,41484,5246
2008,Nebraska," 1,783,432 "," 56,920 ",5570,69,601,1297,3603,51350,8731,38394,4225
2009,Nebraska," 1,796,619 "," 54,930 ",5199,41,617,1220,3321,49731,8726,37496,3509
2010,Nebraska," 1,830,141 "," 53,920 ",5093,54,674,1020,3345,48827,8318,36896,3613
2011,Nebraska," 1,842,234 "," 55,566 ",4672,68,699,993,2912,50894,8725,38060,4109
2012,Nebraska," 1,855,350 "," 56,005 ",4802,52,710,1128,2912,51203,8745,38301,4157
2013,Nebraska," 1,868,969 "," 54,146 ",4949,56,847,1035,3011,49197,8945,35791,4461
2014,Nebraska," 1,881,503 "," 52,754 ",5275,54,862,1043,3316,47479,7950,35074,4455
2005,Nevada," 2,412,301 "," 117,078 ",14654,206,1016,4702,8730,102424,23481,52012,26931
2006,Nevada," 2,495,529 "," 121,025 ",18687,226,1092,7038,10331,102338,24902,50429,27007
2007,Nevada," 2,565,382 "," 116,483 ",19365,193,1096,6938,11138,97118,24911,49844,22363
2008,Nevada," 2,600,167 "," 108,979 ",18973,165,1106,6486,11216,90006,24254,49814,15938
2009,Nevada," 2,643,085 "," 99,615 ",18639,156,1024,6028,11431,80976,22115,46463,12398
2010,Nevada," 2,704,283 "," 92,933 ",17929,158,965,5298,11508,75004,22286,42533,10185
2011,Nevada," 2,720,028 "," 85,527 ",15452,139,913,4308,10092,70075,20342,40156,9577
2012,Nevada," 2,754,354 "," 94,273 ",16763,124,931,4918,10790,77510,22120,45372,10018
2013,Nevada," 2,791,494 "," 96,065 ",16888,163,1482,5183,10060,79177,23047,46132,9998
2014,Nevada," 2,839,099 "," 92,583 ",18045,170,1357,5954,10564,74538,21927,42426,10185
2005,New Hampshire," 1,306,819 "," 25,792 ",1761,19,406,365,971,24031,4192,18493,1346
2006,New Hampshire," 1,314,895 "," 27,845 ",1785,13,295,435,1042,26060,4395,20179,1486
2007,New Hampshire," 1,315,828 "," 28,290 ",1896,12,357,451,1076,26394,5074,19909,1411
2008,New Hampshire," 1,315,809 "," 30,441 ",2054,14,385,421,1234,28387,4266,22714,1407
2009,New Hampshire," 1,324,575 "," 30,915 ",2125,11,399,454,1261,28790,4915,22748,1127
2010,New Hampshire," 1,316,807 "," 31,434 ",2204,13,411,450,1330,29230,5444,22789,997
2011,New Hampshire," 1,317,807 "," 35,620 ",2864,16,581,509,1758,32756,6244,25398,1114
2012,New Hampshire," 1,321,617 "," 34,915 ",2841,15,486,471,1869,32074,5988,25024,1062
2013,New Hampshire," 1,322,616 "," 32,230 ",2952,21,778,647,1506,29278,4979,23355,944
2014,New Hampshire," 1,326,813 "," 28,643 ",2602,12,594,537,1459,26041,4162,21022,857
2005,New Jersey," 8,703,150 "," 234,310 ",30919,417,1208,13215,16079,203391,38980,136728,27683
2006,New Jersey," 8,724,560 "," 229,370 ",30550,427,1201,13360,15562,198820,39384,134687,24749
2007,New Jersey," 8,685,920 "," 220,882 ",28544,381,1032,12567,14564,192338,37234,133145,21959
2008,New Jersey," 8,682,661 "," 227,478 ",28351,376,1122,12701,14152,199127,40402,138545,20180
2009,New Jersey," 8,707,739 "," 207,865 ",27113,319,1041,11639,14114,180752,36945,128303,15504
2010,New Jersey," 8,799,593 "," 210,097 ",27055,371,981,11818,13885,183042,38732,128754,15556
2011,New Jersey," 8,834,773 "," 216,922 ",27203,380,1006,12209,13608,189719,43238,129066,17415
2012,New Jersey," 8,867,749 "," 207,208 ",25727,388,1035,11385,12919,181481,42338,122662,16481
2013,New Jersey," 8,911,502 "," 193,382 ",25748,404,1189,12084,12071,167634,35883,118005,13746
2014,New Jersey," 8,938,175 "," 178,339 ",23346,349,1274,10498,11225,154993,31710,111578,11705
2005,New Mexico," 1,925,985 "," 92,023 ",12448,144,1041,1893,9370,79575,20939,50707,7929
2006,New Mexico," 1,954,599 "," 88,797 ",12797,134,1073,2095,9495,76000,20906,45864,9230
2007,New Mexico," 1,969,915 "," 88,479 ",13311,183,1028,2323,9777,75168,20823,45442,8903
2008,New Mexico," 1,984,356 "," 88,685 ",12967,161,1118,2151,9537,75718,20706,46995,8017
2009,New Mexico," 2,009,671 "," 87,348 ",12709,198,1069,1932,9510,74639,21955,46182,6502
2010,New Mexico," 2,065,913 "," 82,923 ",12147,140,959,1616,9432,70776,21023,44503,5250
2011,New Mexico," 2,078,674 "," 85,453 ",11904,158,856,1720,9170,73549,21419,46730,5400
2012,New Mexico," 2,083,540 "," 86,754 ",11660,116,957,1847,8740,75094,21384,48247,5463
2013,New Mexico," 2,086,895 "," 91,948 ",12990,123,1565,1832,9470,78958,21828,51146,5984
2014,New Mexico," 2,085,572 "," 86,336 ",12459,101,1475,2086,8797,73877,18505,49082,6290
2005,New York," 19,315,721 "," 491,829 ",85839,874,3636,35179,46150,405990,68034,302220,35736
2006,New York," 19,306,183 "," 482,593 ",84016,922,3168,34459,45467,398577,68617,297827,32133
2007,New York," 19,297,729 "," 463,586 ",79962,805,2928,31085,45144,383624,64914,290681,28029
2008,New York," 19,490,297 "," 466,145 ",77546,836,2798,31787,42125,388599,65544,297962,25093
2009,New York," 19,541,453 "," 452,647 ",75110,781,2582,28141,43606,377537,62769,292897,21871
2010,New York," 19,395,206 "," 456,202 ",76492,868,2797,28630,44197,379710,65839,293232,20639
2011,New York," 19,501,616 "," 449,300 ",77463,769,2751,28405,45538,371837,65227,287361,19249
2012,New York," 19,576,125 "," 454,803 ",79535,683,2837,28633,47382,375268,64389,293562,17317
2013,New York," 19,695,680 "," 436,166 ",77563,644,3548,27241,46130,358603,56444,286676,15483
2014,New York," 19,746,227 "," 414,680 ",75398,617,5433,24045,45303,339282,50781,272765,15736
2005,North Carolina," 8,672,459 "," 394,505 ",40650,585,2302,12635,25128,353855,104298,221091,28466
2006,North Carolina," 8,856,505 "," 406,637 ",42088,539,2495,13468,25586,364549,107333,227114,30102
2007,North Carolina," 9,061,032 "," 412,124 ",42231,584,2386,13534,25727,369893,108700,233241,27952
2008,North Carolina," 9,222,414 "," 415,888 ",43125,599,2296,14323,25907,372763,111556,234480,26727
2009,North Carolina," 9,380,884 "," 381,653 ",37946,489,2306,11825,23326,343707,107830,215923,19954
2010,North Carolina," 9,560,234 "," 363,881 ",34679,474,2002,9620,22583,329202,102826,208057,18319
2011,North Carolina," 9,651,103 "," 371,227 ",33421,498,1959,9448,21516,337806,105534,215453,16819
2012,North Carolina," 9,748,364 "," 363,058 ",34464,479,1984,9392,22609,328594,99323,213151,16120
2013,North Carolina," 9,848,917 "," 339,218 ",33587,463,2524,9275,21325,305631,90182,201043,14406
2014,North Carolina," 9,943,964 "," 318,464 ",32767,510,2420,8416,21421,285697,79373,192694,13630
2005,North Dakota," 634,605 "," 13,554 ",706,12,180,54,460,12848,2043,9732,1073
2006,North Dakota," 635,867 "," 14,614 ",1255,14,241,75,925,13359,2601,9672,1086
2007,North Dakota," 639,715 "," 14,139 ",1343,17,252,75,999,12796,2314,9500,982
2008,North Dakota," 641,481 "," 14,470 ",1441,11,331,73,1026,13029,2336,9782,911
2009,North Dakota," 646,844 "," 14,536 ",1723,12,296,107,1308,12813,2426,9474,913
2010,North Dakota," 674,629 "," 13,558 ",1548,10,245,90,1203,12010,2000,9137,873
2011,North Dakota," 684,740 "," 15,033 ",1699,24,266,91,1318,13334,2458,9891,985
2012,North Dakota," 701,345 "," 16,020 ",1723,25,279,127,1292,14297,2429,10687,1181
2013,North Dakota," 723,857 "," 17,335 ",1979,16,355,161,1447,15356,2979,10942,1435
2014,North Dakota," 739,482 "," 17,565 ",1960,22,358,173,1407,15605,2707,11384,1514
2005,Ohio," 11,470,685 "," 460,867 ",40162,590,4671,18673,16228,420705,100183,279051,41471
2006,Ohio," 11,478,006 "," 464,825 ",41491,560,4770,19418,16743,423334,105639,279718,37977
2007,Ohio," 11,466,917 "," 438,440 ",40759,529,4661,18351,17218,397681,99049,264677,33955
2008,Ohio," 11,485,910 "," 432,103 ",40436,547,4531,18706,16652,391667,102428,260788,28451
2009,Ohio," 11,542,645 "," 414,751 ",38305,527,4119,17670,15989,376446,104009,249777,22660
2010,Ohio," 11,537,968 "," 413,142 ",36306,479,3730,16486,15611,376836,107125,248581,21130
2011,Ohio," 11,541,007 "," 415,790 ",35218,500,3679,15991,15048,380572,112901,246744,20927
2012,Ohio," 11,553,031 "," 405,262 ",34827,478,3813,15396,15140,370435,105312,245372,19751
2013,Ohio," 11,572,005 "," 372,136 ",33722,478,4391,14483,14370,338414,91090,227799,19525
2014,Ohio," 11,594,163 "," 357,558 ",33030,464,5042,12753,14771,324528,78845,227668,18015
2005,Oklahoma," 3,543,442 "," 161,450 ",18044,187,1481,3230,13146,143406,35692,93814,13900
2006,Oklahoma," 3,579,212 "," 147,633 ",17905,210,1488,3145,13062,129728,34437,81853,13438
2007,Oklahoma," 3,617,316 "," 146,948 ",18234,224,1565,3392,13053,128714,34367,80747,13600
2008,Oklahoma," 3,642,361 "," 145,894 ",19359,215,1471,3698,13975,126535,35247,80265,11023
2009,Oklahoma," 3,687,050 "," 150,910 ",18560,234,1535,3358,13433,132350,38071,83813,10466
2010,Oklahoma," 3,760,184 "," 147,564 ",18100,195,1469,3345,13091,129464,37848,81303,10313
2011,Oklahoma," 3,784,163 "," 144,929 ",17311,212,1410,3288,12401,127618,36462,80064,11092
2012,Oklahoma," 3,815,780 "," 149,071 ",18102,220,1622,3248,13012,130969,36094,83131,11744
2013,Oklahoma," 3,853,118 "," 143,605 ",17187,198,2314,3023,11652,126418,33512,81624,11282
2014,Oklahoma," 3,878,051 "," 131,726 ",15744,175,1777,3048,10744,115982,29508,75891,10583
2005,Oregon," 3,638,871 "," 170,643 ",10444,80,1266,2478,6620,160199,27621,113316,19262
2006,Oregon," 3,700,758 "," 148,392 ",10534,88,1219,2711,6516,137858,24324,98897,14637
2007,Oregon," 3,747,455 "," 143,788 ",11015,76,1276,2864,6799,132773,22979,95157,14637
2008,Oregon," 3,790,060 "," 135,078 ",9909,87,1183,2656,5983,125169,21115,92677,11377
2009,Oregon," 3,825,657 "," 124,748 ",9968,88,1202,2499,6179,114780,19739,85064,9977
2010,Oregon," 3,838,332 "," 126,305 ",9648,96,1239,2421,5892,116657,20035,87494,9128
2011,Oregon," 3,868,229 "," 131,512 ",9643,84,1239,2237,6083,121869,20704,92059,9106
2012,Oregon," 3,899,801 "," 136,055 ",9638,91,1159,2419,5969,126417,22051,94114,10252
2013,Oregon," 3,928,068 "," 134,619 ",9536,82,1464,2394,5596,125083,20808,94363,9912
2014,Oregon," 3,970,239 "," 123,529 ",9224,81,1458,2093,5592,114305,17230,87526,9549
2005,Pennsylvania," 12,405,348 "," 353,205 ",52761,756,3586,19214,29205,300444,56134,214916,29394
2006,Pennsylvania," 12,440,621 "," 359,617 ",55028,741,3611,21095,29581,304589,57739,217142,29708
2007,Pennsylvania," 12,432,792 "," 345,656 ",51806,725,3443,19440,28198,293850,56091,211248,26511
2008,Pennsylvania," 12,448,279 "," 351,338 ",51044,705,3485,18873,27981,300294,58687,219115,22492
2009,Pennsylvania," 12,604,767 "," 325,370 ",48188,664,3626,17504,26394,277182,54772,204588,17822
2010,Pennsylvania," 12,717,722 "," 322,978 ",46612,653,3472,16375,26112,276366,55206,204440,16720
2011,Pennsylvania," 12,743,948 "," 329,631 ",46189,639,3339,16165,26046,283442,57966,208604,16872
2012,Pennsylvania," 12,764,475 "," 321,946 ",45384,707,3371,15735,25571,276562,57040,204409,15113
2013,Pennsylvania," 12,781,296 "," 306,001 ",42825,611,3795,14739,23680,263176,52000,197410,13766
2014,Pennsylvania," 12,787,209 "," 287,180 ",40164,614,3827,13534,22189,247016,45720,188256,13040
2005,Rhode Island," 1,073,579 "," 31,997 ",2710,34,323,776,1577,29287,5319,19567,4401
2006,Rhode Island," 1,067,610 "," 30,374 ",2460,27,289,740,1404,27914,5453,18852,3609
2007,Rhode Island," 1,057,832 "," 30,000 ",2424,19,258,760,1387,27576,5206,19175,3195
2008,Rhode Island," 1,050,788 "," 32,551 ",2656,31,282,880,1463,29895,5766,20926,3203
2009,Rhode Island," 1,053,209 "," 30,236 ",2678,32,296,785,1565,27558,5753,19403,2402
2010,Rhode Island," 1,052,528 "," 29,668 ",2709,29,298,782,1600,26959,6124,18432,2403
2011,Rhode Island," 1,050,646 "," 30,562 ",2586,20,319,744,1503,27976,6836,18765,2375
2012,Rhode Island," 1,050,304 "," 29,696 ",2657,36,292,715,1614,27039,5929,18478,2632
2013,Rhode Island," 1,053,354 "," 28,451 ",2710,31,449,683,1547,25741,5621,17881,2239
2014,Rhode Island," 1,055,173 "," 25,248 ",2313,25,361,529,1398,22935,4823,16279,1833
2005,South Carolina," 4,246,933 "," 218,196 ",32590,314,1862,5657,24757,185606,42741,126489,16376
2006,South Carolina," 4,321,249 "," 218,034 ",33322,362,1834,5902,25224,184712,42952,125075,16685
2007,South Carolina," 4,407,709 "," 223,934 ",34630,364,1773,6354,26139,189304,45398,126802,17104
2008,South Carolina," 4,479,800 "," 222,696 ",32746,307,1686,6595,24158,189950,45964,126316,17670
2009,South Carolina," 4,561,242 "," 209,109 ",30799,305,1663,5753,23078,178310,45443,119250,13617
2010,South Carolina," 4,637,106 "," 209,021 ",27923,265,1551,5017,21090,181098,46261,121544,13293
2011,South Carolina," 4,673,348 "," 211,137 ",27894,320,1678,4631,21265,183243,47351,122255,13637
2012,South Carolina," 4,723,417 "," 207,523 ",26474,332,1712,4511,19919,181049,45222,122340,13487
2013,South Carolina," 4,771,929 "," 197,524 ",24263,305,2233,3965,17760,173261,40930,119730,12601
2014,South Carolina," 4,832,482 "," 191,269 ",24052,311,2068,3997,17676,167217,36721,117594,12902
2005,South Dakota," 774,883 "," 15,081 ",1387,18,377,145,847,13694,2505,10350,839
2006,South Dakota," 781,919 "," 15,883 ",2071,30,465,158,1418,13812,3024,9954,834
2007,South Dakota," 796,214 "," 15,755 ",1926,31,433,118,1344,13829,2647,10398,784
2008,South Dakota," 804,194 "," 16,094 ",2227,37,562,134,1494,13867,2683,10266,918
2009,South Dakota," 812,383 "," 16,155 ",1777,30,501,117,1129,14378,2621,10891,866
2010,South Dakota," 816,598 "," 17,384 ",2196,23,385,154,1634,15188,3192,11196,800
2011,South Dakota," 823,593 "," 17,404 ",2105,20,503,167,1415,15299,2927,11423,949
2012,South Dakota," 834,047 "," 20,027 ",2701,23,600,157,1921,17326,3280,12973,1073
2013,South Dakota," 845,510 "," 19,007 ",2733,18,507,156,2052,16274,3383,11955,936
2014,South Dakota," 853,175 "," 18,688 ",2786,20,470,200,2096,15902,2818,12077,1007
2005,Tennessee," 5,955,745 "," 301,197 ",45104,431,2194,10009,32470,256093,61508,169357,25228
2006,Tennessee," 6,038,803 "," 295,903 ",46043,419,2194,11143,32287,249860,63024,164183,22653
2007,Tennessee," 6,156,719 "," 298,824 ",46482,405,2201,11033,32843,252342,61817,168807,21718
2008,Tennessee," 6,214,888 "," 296,002 ",44913,412,2078,10804,31619,251089,65093,166793,19203
2009,Tennessee," 6,296,254 "," 279,090 ",41933,468,2019,9653,29793,237157,63832,158309,15016
2010,Tennessee," 6,357,436 "," 271,764 ",38909,359,2173,8361,28016,232855,64293,153729,14833
2011,Tennessee," 6,399,787 "," 269,795 ",38895,380,2095,8082,28338,230900,62830,153928,14142
2012,Tennessee," 6,454,914 "," 259,138 ",41213,400,2047,8151,30615,217925,56231,148731,12963
2013,Tennessee," 6,497,269 "," 245,746 ",38063,335,2500,7333,27895,207683,51334,144443,11906
2014,Tennessee," 6,549,352 "," 240,295 ",39848,371,2531,7265,29681,200447,46642,141206,12599
2005,Texas," 22,928,508 "," 1,111,384 ",121091,1407,8511,35790,75383,990293,219828,677042,93423
2006,Texas," 23,507,783 "," 1,081,448 ",121602,1386,8429,37256,74531,959846,215710,648711,95425
2007,Texas," 23,904,380 "," 1,107,435 ",122014,1419,8460,38778,73357,985421,228320,663101,94000
2008,Texas," 24,326,974 "," 1,093,450 ",123585,1370,8055,37739,76421,969865,230046,654435,85384
2009,Texas," 24,782,302 "," 1,116,766 ",121684,1330,8311,38022,74021,995082,240058,678455,76569
2010,Texas," 25,253,466 "," 1,064,477 ",113231,1249,7622,32843,71517,951246,228597,654626,68023
2011,Texas," 25,631,778 "," 997,544 ",104734,1130,7486,28620,67498,892810,215755,613131,63924
2012,Texas," 26,060,796 "," 982,934 ",106475,1148,7715,30385,67227,876459,205002,606425,65032
2013,Texas," 26,505,637 "," 971,046 ",108757,1140,10456,31810,65351,862289,191062,605440,65787
2014,Texas," 26,956,958 "," 923,348 ",109414,1184,11393,31181,65656,813934,169234,576154,68546
2005,Utah," 2,490,334 "," 101,158 ",5612,56,920,1095,3541,95546,14971,72082,8493
2006,Utah," 2,550,063 "," 95,343 ",5771,51,891,1242,3587,89572,14721,66480,8371
2007,Utah," 2,645,330 "," 99,429 ",6347,59,935,1425,3928,93082,15594,68573,8915
2008,Utah," 2,736,424 "," 98,538 ",6165,41,915,1421,3788,92373,14766,70299,7308
2009,Utah," 2,784,572 "," 97,749 ",5998,39,941,1304,3714,91751,15258,69556,6937
2010,Utah," 2,775,479 "," 94,241 ",5925,53,983,1269,3620,88316,15095,67242,5979
2011,Utah," 2,814,347 "," 89,631 ",5547,50,901,1079,3517,84084,13170,64727,6187
2012,Utah," 2,854,871 "," 92,223 ",5939,52,975,1105,3807,86284,13095,67157,6032
2013,Utah," 2,902,787 "," 94,978 ",6644,51,1522,1247,3824,88334,13727,67115,7492
2014,Utah," 2,942,902 "," 91,057 ",6346,67,1454,1312,3513,84711,11518,65895,7298
2005,Vermont," 622,387 "," 15,531 ",782,8,153,76,545,14749,3185,10894,670
2006,Vermont," 623,908 "," 15,825 ",905,14,173,114,604,14920,3443,10857,620
2007,Vermont," 621,254 "," 15,504 ",802,13,128,79,582,14702,3200,10853,649
2008,Vermont," 621,270 "," 16,757 ",854,17,133,93,611,15903,3515,11802,586
2009,Vermont," 621,760 "," 15,847 ",837,8,132,111,586,15010,3471,11090,449
2010,Vermont," 625,909 "," 14,980 ",820,7,141,76,596,14160,3348,10373,439
2011,Vermont," 626,592 "," 16,011 ",925,11,146,99,669,15086,3838,10720,528
2012,Vermont," 625,953 "," 16,544 ",891,8,131,114,638,15653,4179,11014,460
2013,Vermont," 626,855 "," 14,657 ",775,10,136,75,554,13882,3352,10193,337
2014,Vermont," 626,562 "," 10,173 ",622,10,110,70,432,9551,2034,7273,244
2005,Virginia," 7,564,327 "," 221,838 ",21434,458,1763,7495,11718,200404,29829,154584,15991
2006,Virginia," 7,642,884 "," 211,940 ",21683,403,1829,7779,11672,190257,32166,143292,14799
2007,Virginia," 7,712,091 "," 212,798 ",21035,415,1793,7696,11131,191763,32028,145634,14101
2008,Virginia," 7,769,089 "," 216,757 ",20031,370,1794,7470,10397,196726,32188,151191,13347
2009,Virginia," 7,882,590 "," 212,215 ",18195,370,1572,6342,9911,194020,31956,150374,11690
2010,Virginia," 8,023,953 "," 204,587 ",17184,376,1580,5678,9550,187403,30804,145990,10609
2011,Virginia," 8,104,384 "," 198,916 ",16014,304,1591,5425,8694,182902,30656,142476,9770
2012,Virginia," 8,186,628 "," 194,110 ",15676,322,1505,4718,9131,178434,29651,139654,9129
2013,Virginia," 8,270,345 "," 187,913 ",16355,320,2350,4574,9111,171558,26717,136215,8626
2014,Virginia," 8,326,289 "," 177,060 ",16340,338,2310,4292,9400,160720,23122,129933,7665
2005,Washington," 6,291,899 "," 329,406 ",21745,205,2811,5788,12941,307661,60343,198031,49287
2006,Washington," 6,395,798 "," 310,759 ",22303,197,2748,6424,12934,288456,58843,183179,46434
2007,Washington," 6,468,424 "," 283,544 ",21768,174,2653,6079,12862,261776,52874,170782,38120
2008,Washington," 6,549,224 "," 271,171 ",21888,193,2653,6419,12623,249283,53136,167013,29134
2009,Washington," 6,664,195 "," 267,627 ",22412,190,2583,6711,12928,245215,53047,168421,23747
2010,Washington," 6,742,950 "," 270,564 ",21138,154,2579,5929,12476,249426,55192,168490,25744
2011,Washington," 6,823,267 "," 264,361 ",20152,163,2320,5627,12042,244209,56561,162828,24820
2012,Washington," 6,895,318 "," 274,930 ",20553,217,2250,5801,12285,254377,61376,166338,26663
2013,Washington," 6,973,742 "," 279,362 ",20223,167,2604,5829,11623,259139,58487,172227,28425
2014,Washington," 7,061,530 "," 281,842 ",20136,174,2695,5640,11627,261706,55290,175769,30647
2005,West Virginia," 1,814,083 "," 52,725 ",4968,82,335,816,3735,47757,11334,32603,3820
2006,West Virginia," 1,818,470 "," 53,054 ",5113,80,404,853,3776,47941,11579,32305,4057
2007,West Virginia," 1,812,035 "," 50,636 ",5016,65,388,847,3716,45620,10822,31321,3477
2008,West Virginia," 1,814,468 "," 50,977 ",5006,67,389,896,3654,45971,10840,31967,3164
2009,West Virginia," 1,819,777 "," 51,769 ",5554,84,470,914,4086,46215,12005,31453,2757
2010,West Virginia," 1,854,368 "," 46,887 ",5586,58,362,776,4390,41301,10778,28104,2419
2011,West Virginia," 1,854,908 "," 44,506 ",5497,87,372,802,4236,39009,10245,26656,2108
2012,West Virginia," 1,856,680 "," 50,443 ",5943,70,415,835,4623,44500,11466,30800,2234
2013,West Virginia," 1,853,595 "," 45,586 ",5657,62,700,653,4242,39929,9908,28055,1966
2014,West Virginia," 1,850,326 "," 43,236 ",5588,74,505,651,4358,37648,8973,26779,1896
2005,Wisconsin," 5,527,644 "," 160,923 ",13367,206,1135,4555,7471,147556,24448,110531,12577
2006,Wisconsin," 5,556,506 "," 172,647 ",15899,165,1233,5564,8937,156748,27038,115682,14028
2007,Wisconsin," 5,601,640 "," 175,635 ",16330,185,1227,5480,9438,159305,27890,117957,13458
2008,Wisconsin," 5,627,967 "," 170,963 ",15507,146,1128,5163,9070,155456,27459,116456,11541
2009,Wisconsin," 5,654,774 "," 162,342 ",14650,146,1118,4904,8482,147692,26813,111947,8932
2010,Wisconsin," 5,691,659 "," 156,948 ",14167,155,1191,4516,8305,142781,26636,107993,8152
2011,Wisconsin," 5,709,843 "," 154,180 ",14268,138,1190,4600,8340,139912,27167,104472,8273
2012,Wisconsin," 5,724,554 "," 157,034 ",16254,169,1228,4692,10165,140780,27931,104619,8230
2013,Wisconsin," 5,742,953 "," 141,812 ",16118,163,1836,4834,9285,125694,24358,93946,7390
2014,Wisconsin," 5,757,564 "," 136,952 ",16714,165,1674,5066,9809,120238,21216,89103,9919
2005,Wyoming," 508,798 "," 17,242 ",1172,14,122,78,958,16070,2426,12905,739
2006,Wyoming," 515,004 "," 16,688 ",1307,13,151,72,1071,15381,2322,12255,804
2007,Wyoming," 522,830 "," 16,397 ",1344,21,172,84,1067,15053,2365,11875,813
2008,Wyoming," 532,668 "," 15,845 ",1330,12,185,87,1046,14515,2198,11584,733
2009,Wyoming," 544,270 "," 15,439 ",1196,11,172,78,935,14243,2176,11310,757
2010,Wyoming," 564,554 "," 14,986 ",1117,8,162,77,870,13869,2151,11126,592
2011,Wyoming," 567,356 "," 14,123 ",1245,18,146,71,1010,12878,1864,10493,521
2012,Wyoming," 576,626 "," 14,383 ",1161,14,154,61,932,13222,2125,10513,584
2013,Wyoming," 583,223 "," 14,021 ",1212,17,204,74,917,12809,1956,10275,578
2014,Wyoming," 584,153 "," 12,619 ",1142,16,174,53,899,11477,1689,9185,603
